=== ISIMLER.JSON GENISLETME DETAYLI RAPOR ===
Onceki: 246, Sonraki: 632
Eklenen: 386 (E:191 K:174 U:21)
Klasik etymon: 202, Algoritmik: 184

=== EKLENEN ISIMLER (alfabetik) ===
key | arapca | ebced | cinsiyet | kaynak
abdullatif | عبد اللطيف | 236 | e | klasik-etymon
abdülbasit | عبد الباسط | 179 | e | klasik-etymon
abdülcebbar | عبد الجبار | 313 | e | klasik-etymon
abdülgaffar | عبد الغفار | 1388 | e | klasik-etymon
abdülgani | عبد الغني | 1167 | e | klasik-etymon
abdülhalim | عبد الحليم | 195 | e | klasik-etymon
abdülmecit | عبد المجيد | 164 | e | klasik-etymon
abdülmelik | عبد الملك | 197 | e | klasik-etymon
abdülvahit | عبد الواحد | 126 | e | klasik-etymon
abdüsselam | عبد السلام | 238 | e | klasik-etymon
ada | ادا | 6 | k | algoritmik
adem | آدم | 45 | e | klasik-etymon
afet | آفت | 481 | k | klasik-etymon
ahmed | أحمد | 53 | e | klasik-etymon
ahmet kerim | اهماتكاريم | 718 | e | algoritmik
ahmet yusuf | اهماتيوسوف | 609 | e | algoritmik
akif | عاكف | 171 | e | klasik-etymon
alp | الب | 33 | e | algoritmik
alpay | الباي | 44 | e | algoritmik
altan | التان | 482 | e | algoritmik
altay | التاي | 442 | e | algoritmik
arda | اردا | 206 | e | algoritmik
aren | اران | 252 | e | algoritmik
arif | عارف | 351 | e | klasik-etymon
arzu | ارزو | 214 | k | algoritmik
asaf | آصف | 171 | e | klasik-etymon
asım | عاصم | 201 | e | klasik-etymon
aslan | اسلان | 142 | e | algoritmik
asu | اسو | 67 | k | algoritmik
ata | اتا | 402 | e | algoritmik
ataberk | اتابارك | 625 | e | algoritmik
atakan | اتاكان | 473 | e | algoritmik
atalay | اتالاي | 443 | e | algoritmik
atıf | عاطف | 160 | e | klasik-etymon
atıl | اتل | 431 | e | algoritmik
atlas | اتلاس | 492 | e | algoritmik
aybike | ايبيكا | 44 | k | algoritmik
ayda | آيدا | 16 | k | klasik-etymon
aydanur | ايدانور | 272 | k | algoritmik
ayfer | آيفر | 291 | k | klasik-etymon
ayhan | آيخان | 662 | e | klasik-etymon
ayla | ايلا | 42 | k | algoritmik
aylin | آيلين | 101 | k | klasik-etymon
aysel | آيسل | 101 | k | klasik-etymon
aysima | آيسيما | 122 | k | klasik-etymon
aysun | آيسون | 127 | k | klasik-etymon
ayşen | عائشن | 431 | k | klasik-etymon
azime | عظيمة | 1025 | k | klasik-etymon
azize | عزيزة | 99 | k | klasik-etymon
azra | ازرا | 209 | k | algoritmik
bahaeddin | بهاء الدين | 104 | e | klasik-etymon
baran | باران | 254 | e | algoritmik
barkın | باركن | 273 | e | algoritmik
barlas | بارلاس | 294 | e | algoritmik
başak | باشاك | 324 | k | algoritmik
batu | باتو | 409 | e | algoritmik
batuhan | باتوهان | 465 | e | algoritmik
bedirhan | باديرهان | 273 | e | algoritmik
bedrettin | بدر الدين | 301 | e | klasik-etymon
bedri | بدري | 216 | e | klasik-etymon
begüm | باكوم | 69 | k | algoritmik
behçet | بهجت | 410 | e | klasik-etymon
behiye | بهية | 22 | k | klasik-etymon
belin | بالين | 93 | k | algoritmik
belinay | باليناي | 104 | k | algoritmik
belkıs | بلقيس | 202 | k | klasik-etymon
berat | بارات | 604 | e | algoritmik
berfin | بارفين | 343 | k | algoritmik
beril | باريل | 243 | k | algoritmik
berk | بارك | 223 | e | algoritmik
berke | باركا | 224 | e | algoritmik
berker | باركار | 424 | e | algoritmik
berra | بارا | 204 | k | algoritmik
berrak | باراك | 224 | k | algoritmik
beste | باستا | 464 | k | algoritmik
bilge | بيلكا | 63 | u | algoritmik
bilgehan | بلگه خان | 688 | e | klasik-etymon
birsen | بيرسان | 323 | k | algoritmik
bora | بورا | 209 | e | algoritmik
boran | بوران | 259 | e | algoritmik
bozkurt | بوزكورت | 641 | e | algoritmik
bulut | بولوت | 444 | u | algoritmik
cafer | جعفر | 353 | e | klasik-etymon
cansu | جانسو | 120 | k | algoritmik
casim | جاسم | 104 | e | klasik-etymon
cemile | جميلة | 88 | k | klasik-etymon
cengizhan | جانكيزهان | 147 | e | algoritmik
cevriye | جوريه | 224 | k | klasik-etymon
ceylan | جايلان | 95 | k | algoritmik
çağan | جاغان | 1055 | e | algoritmik
çağatay | جاغاتاي | 1416 | e | algoritmik
çağla | جاغلا | 1035 | k | algoritmik
çağrı | جاغر | 1204 | u | algoritmik
çelik | جاليك | 64 | e | algoritmik
çetin | جاتين | 464 | e | algoritmik
çınar | جنار | 254 | e | algoritmik
çiğdem | جيغدام | 1058 | k | algoritmik
çilem | جيلام | 84 | k | algoritmik
çisem | جيسام | 114 | k | algoritmik
davud | داود | 15 | e | klasik-etymon
defne | دافنا | 136 | k | algoritmik
demir | دامير | 255 | e | algoritmik
deniz can | دانيزجان | 126 | u | algoritmik
deren | داران | 256 | k | algoritmik
derin | دارين | 265 | u | algoritmik
dilan | ديلان | 95 | k | algoritmik
dilay | ديلاي | 55 | k | algoritmik
dilek | ديلك | 64 | k | klasik-etymon
dilruba | ديلروبا | 253 | k | algoritmik
dilşad | دلشاد | 339 | k | klasik-etymon
doğa | دوغا | 1011 | u | algoritmik
doruk | دوروك | 236 | e | algoritmik
ebrar | ابرار | 404 | k | algoritmik
eda | ادا | 6 | k | algoritmik
eflin | افلين | 171 | k | algoritmik
egemen | اكامان | 113 | e | algoritmik
ekin | اكين | 81 | u | algoritmik
eliz | اليز | 48 | k | algoritmik
elvan | الوان | 88 | u | algoritmik
elvin | الوين | 97 | k | algoritmik
emel | أمل | 71 | k | klasik-etymon
emirhan | اميرهان | 307 | e | algoritmik
enes | أنس | 111 | e | klasik-etymon
enise | أنيسة | 126 | k | klasik-etymon
eralp | ارالب | 234 | e | algoritmik
ergun | اركون | 277 | e | algoritmik
ersin | ارسين | 321 | e | algoritmik
ertekin | ارتاكين | 682 | e | algoritmik
esen | اسان | 112 | u | algoritmik
esila | اسيلا | 102 | k | klasik-etymon
esin | اسين | 121 | k | algoritmik
esma nur | أسماء نور | 359 | k | klasik-etymon
esmanur | أسماء نور | 359 | k | klasik-etymon
eylül | ايلول | 77 | k | algoritmik
eyüp | أيوب | 19 | e | klasik-etymon
ezgi | ازكي | 38 | k | algoritmik
fadıl | فاضل | 911 | e | klasik-etymon
faik | فائق | 191 | e | klasik-etymon
fatma nur | فاطمة نور | 391 | k | klasik-etymon
fatmanur | فاطمة نور | 391 | k | klasik-etymon
