=== KALIBRASYON RAPORU (detayli) ===
Toplam isim: 632
Ortalama mutlak fark: 110.88
Medyan fark: 3
Min: 0  Max: 1388
+-10:  413/632 (65.3%)
+-50:  446/632 (70.6%)
+-100: 509/632 (80.5%)
+-200: 518/632 (82.0%)

=== EN KOTU 10 (en yuksek fark) ===
isim | sozlukAr | sozlukEbced | algoAr | algoEbced | fark
hızır | خضر | 1600 | هزر | 212 | 1388
gıyasettin | غياث الدين | 1606 | كياساتين | 552 | 1054
abdülgaffar | عبد الغفار | 1388 | ابدولكافار | 345 | 1043
abdülgani | عبد الغني | 1167 | ابدولكاني | 124 | 1043
ege | إيغه | 1016 | اكا | 22 | 994
ziya | ضياء | 1011 | زيا | 18 | 993
sungur | سونغور | 1322 | سونكور | 342 | 980
gamze | غمزة | 1047 | كامزا | 69 | 978
azime | عظيمة | 1025 | ازيما | 59 | 966
nazmiye | نظمية | 1005 | نازميا | 109 | 896

=== EN IYI 10 (en dusuk fark) ===
isim | sozlukAr | sozlukEbced | algoAr | algoEbced | fark
yiğit | يغيت | 1420 | يغيت | 1420 | 0
yağız | ياغز | 1018 | ياغز | 1018 | 0
yaman | يامان | 102 | يامان | 102 | 0
uras | وراس | 267 | وراس | 267 | 0
ulaş | ولاش | 337 | ولاش | 337 | 0
tuna | تونا | 457 | تونا | 457 | 0
tuğra | توغرا | 1607 | توغرا | 1607 | 0
toprak | توبراك | 629 | توبراك | 629 | 0
tolgahan | تولكاهان | 513 | تولكاهان | 513 | 0
tekin | تاكين | 481 | تاكين | 481 | 0

=== TUM ISIMLER (alfabetik) ===
isim | sozlukAr | sozlukEbced | algoAr | algoEbced | fark
abdullah | عبدالله | 142 | ابدولاه | 49 | 93
abdullatif | عبد اللطيف | 236 | ابدولاتيف | 534 | 298
abdurrahman | عبدالرحمن | 401 | ابدوراهمان | 310 | 91
abdurrezzak | عبدالرزاق | 413 | ابدورازاك | 242 | 171
abdülaziz | عبدالعزيز | 199 | ابدولازيز | 68 | 131
abdülbaki | عبدالباقي | 218 | ابدولباكي | 76 | 142
abdülbasit | عبد الباسط | 179 | ابدولباسيت | 516 | 337
abdülcebbar | عبد الجبار | 313 | ابدولجابار | 250 | 63
abdülgaffar | عبد الغفار | 1388 | ابدولكافار | 345 | 1043
abdülgani | عبد الغني | 1167 | ابدولكاني | 124 | 1043
abdülhalim | عبد الحليم | 195 | ابدولهاليم | 129 | 66
abdülhamit | عبدالحميد | 167 | ابدولهاميت | 499 | 332
abdülkadir | عبدالقادر | 410 | ابدولكادير | 278 | 132
abdülmecit | عبد المجيد | 164 | ابدولماجيت | 497 | 333
abdülmelik | عبد الملك | 197 | ابدولماليك | 144 | 53
abdülvahit | عبد الواحد | 126 | ابدولواهيت | 465 | 339
abdüsselam | عبد السلام | 238 | ابدوسالام | 145 | 93
ada | ادا | 6 | ادا | 6 | 0
adem | آدم | 45 | ادام | 46 | 1
afet | آفت | 481 | افات | 482 | 1
ahmed | أحمد | 53 | اهماد | 51 | 2
ahmet | أحمد | 53 | اهمات | 447 | 394
ahmet kerim | اهماتكاريم | 718 | اهماتكاريم | 718 | 0
ahmet yusuf | اهماتيوسوف | 609 | اهماتيوسوف | 609 | 0
akif | عاكف | 171 | اكيف | 111 | 60
ali | علي | 110 | الي | 41 | 69
alp | الب | 33 | الب | 33 | 0
alparslan | ألب أرسلان | 423 | البارسلان | 375 | 48
alpay | الباي | 44 | الباي | 44 | 0
alper | ألبر | 233 | البار | 234 | 1
altan | التان | 482 | التان | 482 | 0
altay | التاي | 442 | التاي | 442 | 0
arda | اردا | 206 | اردا | 206 | 0
aren | اران | 252 | اران | 252 | 0
arif | عارف | 351 | اريف | 291 | 60
arzu | ارزو | 214 | ارزو | 214 | 0
